epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1710.97,0.89633,1.43742,1.29319,0.49322,0.65385,0.52861,0.35848,1.10095,1.94138,1.7113,0.0005842,0.0005842,0.0005842
44,1749.23,0.9554,1.4494,1.32379,0.48303,0.57505,0.48287,0.31526,1.07605,1.66217,1.67127,0.0005743,0.0005743,0.0005743
45,1787.52,0.89506,1.43221,1.26977,0.50146,0.5,0.47353,0.32779,1.11711,1.65676,1.61981,0.0005644,0.0005644,0.0005644
46,1825.56,0.93018,1.37385,1.29317,0.56,0.53846,0.48869,0.37695,1.09397,1.71504,1.58684,0.0005545,0.0005545,0.0005545
47,1864.98,1.00388,1.49507,1.37359,0.52443,0.5,0.46201,0.37238,1.05343,1.72753,1.54196,0.0005446,0.0005446,0.0005446
48,1904.17,1.03702,1.57022,1.33141,0.51724,0.57692,0.46094,0.37326,1.05432,1.68302,1.53367,0.0005347,0.0005347,0.0005347
49,1945.1,0.89907,1.40049,1.30124,0.55556,0.57692,0.49356,0.39178,1.02485,1.59342,1.54159,0.0005248,0.0005248,0.0005248
50,1982.46,0.96717,1.44726,1.31087,0.5,0.57692,0.4911,0.36489,0.97025,1.56296,1.52286,0.0005149,0.0005149,0.0005149
51,2020.34,0.87501,1.36107,1.26165,0.61093,0.46154,0.50889,0.38109,0.94527,1.53143,1.50929,0.000505,0.000505,0.000505
52,2058.09,0.90554,1.39465,1.29169,0.61957,0.5,0.5224,0.40665,0.94676,1.5449,1.47861,0.0004951,0.0004951,0.0004951
53,2096.18,0.92108,1.4152,1.29233,0.64232,0.5,0.51266,0.38899,1.0302,1.61463,1.54933,0.0004852,0.0004852,0.0004852
54,2135.43,0.91403,1.28093,1.30498,0.59452,0.5,0.4853,0.36295,1.08818,1.64359,1.64159,0.0004753,0.0004753,0.0004753
55,2173.54,0.92919,1.30337,1.29585,0.63178,0.46154,0.51635,0.38055,1.08081,1.68388,1.66202,0.0004654,0.0004654,0.0004654
56,2211.56,0.8331,1.18656,1.28017,0.60647,0.53366,0.52796,0.38204,1.03377,1.65188,1.62636,0.0004555,0.0004555,0.0004555
57,2249.78,0.79123,1.57784,1.26021,0.62893,0.53846,0.56332,0.40141,1.16311,1.62819,1.67744,0.0004456,0.0004456,0.0004456
58,2287.72,0.83648,1.50562,1.21608,0.61538,0.61538,0.53568,0.37665,1.22868,1.59077,1.73086,0.0004357,0.0004357,0.0004357
59,2325.52,0.92819,1.40407,1.31707,0.56,0.53846,0.47291,0.33288,1.10165,1.61208,1.66754,0.0004258,0.0004258,0.0004258
60,2363.51,0.89931,1.31985,1.24076,0.46667,0.53846,0.43149,0.32382,0.98685,1.60069,1.63773,0.0004159,0.0004159,0.0004159
61,2402.42,0.78859,1.2771,1.24164,0.47059,0.61538,0.44863,0.33876,0.98038,1.52822,1.60767,0.000406,0.000406,0.000406
62,2438.47,0.80533,1.23617,1.19872,0.45825,0.61538,0.45899,0.35722,0.99353,1.56976,1.61181,0.0003961,0.0003961,0.0003961
