epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4506.55,1.11202,1.15917,1.52885,0.86573,0.79278,0.89926,0.60036,1.2544,0.99781,1.53987,0.0007294,0.0007294,0.0007294
43,4609.42,1.10553,1.14154,1.52958,0.83743,0.81967,0.8846,0.56549,1.31764,0.9847,1.55539,0.0007228,0.0007228,0.0007228
44,4712.73,1.13872,1.14022,1.54246,0.82657,0.80328,0.87725,0.57102,1.22163,1.00605,1.53033,0.0007162,0.0007162,0.0007162
45,4816.05,1.13134,1.13207,1.52462,0.87346,0.79508,0.87758,0.53892,1.39883,1.07244,1.69957,0.0007096,0.0007096,0.0007096
46,4919.22,1.12275,1.14633,1.51235,0.80804,0.8281,0.88899,0.55315,1.40152,1.01046,1.65525,0.000703,0.000703,0.000703
47,5022.06,1.07691,1.0863,1.49955,0.75485,0.90984,0.87255,0.54095,1.36448,1.04176,1.63018,0.0006964,0.0006964,0.0006964
48,5124.99,1.09829,1.11829,1.4831,0.82062,0.78745,0.84779,0.56267,1.29745,1.19799,1.57609,0.0006898,0.0006898,0.0006898
49,5228.38,1.13489,1.152,1.5377,0.76515,0.82787,0.8406,0.52421,1.37811,1.10929,1.63646,0.0006832,0.0006832,0.0006832
50,5332.09,1.092,1.14826,1.49978,0.85132,0.81967,0.89859,0.56907,1.33154,0.94919,1.64301,0.0006766,0.0006766,0.0006766
51,5435.69,1.12926,1.14121,1.52247,0.73527,0.86885,0.88078,0.5425,1.36185,0.96801,1.6164,0.00067,0.00067,0.00067
52,5539.09,1.11584,1.14018,1.51415,0.77812,0.86239,0.8954,0.5389,1.51148,1.01109,1.81274,0.0006634,0.0006634,0.0006634
53,5642.37,1.09989,1.10173,1.52182,0.83703,0.81148,0.88048,0.58785,1.23806,0.96693,1.55527,0.0006568,0.0006568,0.0006568
54,5748.2,1.0437,1.09565,1.48053,0.77944,0.86902,0.88065,0.56101,1.28636,1.02953,1.57669,0.0006502,0.0006502,0.0006502
55,5851.52,1.08184,1.07647,1.49711,0.77395,0.86066,0.88792,0.57331,1.33173,0.98356,1.58757,0.0006436,0.0006436,0.0006436
56,5954.75,1.07933,1.09375,1.49463,0.79424,0.82787,0.88361,0.53807,1.42478,1.0416,1.74043,0.000637,0.000637,0.000637
57,6057.78,1.09475,1.10945,1.48993,0.80324,0.86066,0.89923,0.55082,1.44495,0.99402,1.72044,0.0006304,0.0006304,0.0006304
58,6160.79,1.04583,1.08744,1.46602,0.82876,0.81967,0.88846,0.59635,1.25333,0.97562,1.54917,0.0006238,0.0006238,0.0006238
59,6263.86,1.05648,1.08648,1.48317,0.72068,0.91803,0.88407,0.59269,1.22865,0.97395,1.55563,0.0006172,0.0006172,0.0006172
60,6366.9,1.09061,1.09057,1.4845,0.82509,0.86066,0.90279,0.56144,1.29015,0.93035,1.59959,0.0006106,0.0006106,0.0006106
61,6469.65,1.02161,1.07182,1.45247,0.78928,0.87705,0.88033,0.59003,1.22368,0.96919,1.54064,0.000604,0.000604,0.000604
62,6572.72,1.0127,1.06236,1.45741,0.81855,0.85246,0.89837,0.60862,1.20898,0.94974,1.53262,0.0005974,0.0005974,0.0005974
63,6675.56,1.01347,1.02607,1.45286,0.77392,0.86885,0.88825,0.58393,1.27478,0.94804,1.5723,0.0005908,0.0005908,0.0005908
64,6778.53,1.04724,1.04185,1.46625,0.76696,0.79508,0.84354,0.54955,1.25856,1.05536,1.57758,0.0005842,0.0005842,0.0005842
65,6881.4,1.03869,1.032,1.44382,0.72597,0.90984,0.86077,0.54392,1.32572,0.95998,1.6127,0.0005776,0.0005776,0.0005776
66,6985.75,1.03416,1.04923,1.44997,0.74998,0.78682,0.82903,0.56133,1.19385,0.99359,1.52098,0.000571,0.000571,0.000571
67,7088.62,0.98231,1.02259,1.4425,0.78306,0.82843,0.88387,0.60799,1.21099,0.94533,1.54911,0.0005644,0.0005644,0.0005644
68,7191.73,1.02019,1.01702,1.46464,0.78941,0.79888,0.85144,0.55466,1.24315,0.97006,1.55533,0.0005578,0.0005578,0.0005578
69,7294.5,1.05302,1.07278,1.46879,0.7266,0.84426,0.84543,0.54564,1.25196,0.96669,1.55195,0.0005512,0.0005512,0.0005512
70,7397.63,1.03142,1.04325,1.44681,0.78439,0.83493,0.87772,0.58261,1.21189,0.93642,1.52345,0.0005446,0.0005446,0.0005446
71,7501.02,1.00368,1.05432,1.43182,0.76247,0.90984,0.87235,0.56497,1.29384,1.02489,1.5686,0.000538,0.000538,0.000538
72,7603.93,1.05631,1.06179,1.45216,0.73497,0.86379,0.82183,0.5401,1.26303,1.04815,1.55564,0.0005314,0.0005314,0.0005314
73,7706.76,1.05848,1.08274,1.48266,0.81092,0.84426,0.87459,0.56186,1.30616,0.98486,1.55599,0.0005248,0.0005248,0.0005248
74,7809.54,0.99525,1.00858,1.4325,0.72627,0.90164,0.87969,0.63428,1.12815,1.027,1.4724,0.0005182,0.0005182,0.0005182
75,7912.32,1.03461,1.02065,1.44957,0.79386,0.88388,0.87754,0.54797,1.3793,0.95095,1.67268,0.0005116,0.0005116,0.0005116
76,8015.08,1.03913,1.02262,1.46209,0.80874,0.86066,0.89013,0.62704,1.15699,0.90132,1.46746,0.000505,0.000505,0.000505
77,8117.75,1.03121,1.02209,1.44134,0.82164,0.83073,0.89656,0.60047,1.30144,0.89503,1.55257,0.0004984,0.0004984,0.0004984
78,8220.63,1.00232,1.0227,1.44647,0.83321,0.81895,0.90078,0.61499,1.20209,0.89783,1.52283,0.0004918,0.0004918,0.0004918
79,8323.82,0.97424,1.02112,1.42713,0.87271,0.7868,0.89985,0.6159,1.20341,0.93514,1.48019,0.0004852,0.0004852,0.0004852
80,8427.02,0.99775,0.98105,1.41635,0.87597,0.81049,0.90495,0.6191,1.15238,0.9139,1.4462,0.0004786,0.0004786,0.0004786
81,8529.85,0.98349,0.95938,1.41835,0.81393,0.85246,0.88026,0.58196,1.23354,0.90854,1.51033,0.000472,0.000472,0.000472
82,8632.96,0.98828,0.99594,1.42742,0.75,0.88525,0.85835,0.57906,1.21352,0.99046,1.50886,0.0004654,0.0004654,0.0004654
83,8735.64,0.98254,0.98352,1.42758,0.78355,0.82787,0.85271,0.59396,1.18987,0.95731,1.51728,0.0004588,0.0004588,0.0004588
84,8838.39,0.99927,0.98224,1.41856,0.82164,0.90623,0.90403,0.6074,1.17329,0.91983,1.47,0.0004522,0.0004522,0.0004522
85,8941.05,0.98481,0.97443,1.4107,0.76422,0.87674,0.89211,0.59855,1.22074,0.94099,1.53848,0.0004456,0.0004456,0.0004456
86,9044.08,0.96477,1.0153,1.40333,0.79995,0.87705,0.90005,0.61932,1.14592,0.943,1.52498,0.000439,0.000439,0.000439
87,9146.75,0.98452,0.97646,1.42495,0.85197,0.80328,0.89897,0.61065,1.23435,0.87724,1.56033,0.0004324,0.0004324,0.0004324
88,9249.92,0.97081,0.96939,1.42067,0.91355,0.77956,0.90314,0.66453,1.08948,0.83444,1.44394,0.0004258,0.0004258,0.0004258
89,9353.12,0.96605,0.97914,1.39617,0.78144,0.90164,0.87449,0.59096,1.17046,0.93078,1.51462,0.0004192,0.0004192,0.0004192
90,9456.81,0.96155,0.96032,1.39995,0.72835,0.89344,0.861,0.58769,1.2153,0.99217,1.52892,0.0004126,0.0004126,0.0004126
91,9560.23,0.96858,0.96703,1.41187,0.809,0.86066,0.88029,0.58035,1.23851,0.93498,1.57603,0.000406,0.000406,0.000406
92,9663.2,0.96909,0.95391,1.4037,0.76542,0.89344,0.88572,0.60313,1.22011,0.9181,1.57652,0.0003994,0.0003994,0.0003994
93,9765.94,0.96445,0.94803,1.40745,0.79111,0.83607,0.84837,0.58135,1.25639,0.94609,1.59724,0.0003928,0.0003928,0.0003928
94,9868.97,0.93268,0.93627,1.39111,0.74762,0.86066,0.86469,0.62265,1.13014,0.90747,1.48451,0.0003862,0.0003862,0.0003862
95,9971.74,0.95956,0.94895,1.39375,0.77557,0.86885,0.86535,0.62999,1.09457,0.94142,1.43289,0.0003796,0.0003796,0.0003796
96,10075.6,0.96177,0.93812,1.40301,0.76348,0.87316,0.8686,0.60149,1.1889,0.92208,1.50034,0.000373,0.000373,0.000373
97,10179.5,0.93543,0.9276,1.38668,0.82619,0.80328,0.87222,0.61948,1.22865,0.91276,1.53127,0.0003664,0.0003664,0.0003664
98,10282.9,0.95574,0.94118,1.39929,0.80036,0.78865,0.87051,0.63007,1.15537,0.90395,1.50993,0.0003598,0.0003598,0.0003598
99,10385.7,0.98714,0.98881,1.42442,0.77898,0.90984,0.8886,0.62497,1.12658,0.86214,1.48336,0.0003532,0.0003532,0.0003532
100,10488.6,0.96049,0.96383,1.40368,0.80038,0.85246,0.88619,0.61419,1.19234,0.89504,1.52448,0.0003466,0.0003466,0.0003466
101,10593.1,0.95513,0.95952,1.3893,0.85742,0.80328,0.88686,0.6,1.22769,0.94171,1.54452,0.00034,0.00034,0.00034
102,10695.9,0.9146,0.92187,1.37578,0.87016,0.82403,0.88476,0.62832,1.22566,0.90062,1.54166,0.0003334,0.0003334,0.0003334
103,10798.6,0.89322,0.90656,1.34096,0.84512,0.8498,0.91235,0.62682,1.23528,0.88734,1.54485,0.0003268,0.0003268,0.0003268
104,10901.7,0.89421,0.92131,1.35641,0.81666,0.83978,0.89428,0.62705,1.16364,0.85367,1.49253,0.0003202,0.0003202,0.0003202
105,11004.6,0.93763,0.94712,1.3956,0.79986,0.86066,0.91392,0.61426,1.27353,0.8325,1.56509,0.0003136,0.0003136,0.0003136
106,11107.8,0.92181,0.91791,1.3781,0.82579,0.86066,0.89415,0.61221,1.21378,0.87207,1.5295,0.000307,0.000307,0.000307
107,11210.5,0.9268,0.89227,1.37862,0.81332,0.85707,0.86664,0.5827,1.22671,0.9045,1.56545,0.0003004,0.0003004,0.0003004
108,11313.3,0.89691,0.87953,1.36946,0.80547,0.84848,0.87656,0.61352,1.14485,0.89569,1.50492,0.0002938,0.0002938,0.0002938
109,11416,0.93626,0.9367,1.39218,0.83824,0.84426,0.88531,0.60699,1.19196,0.90552,1.54857,0.0002872,0.0002872,0.0002872
110,11519.2,0.88942,0.92051,1.35904,0.78082,0.91803,0.89528,0.60322,1.19138,0.87219,1.55011,0.0002806,0.0002806,0.0002806
111,11622.1,0.87795,0.86315,1.33867,0.72526,0.86885,0.84787,0.60125,1.11964,0.91356,1.49602,0.000274,0.000274,0.000274
112,11725.1,0.90228,0.9082,1.35695,0.77787,0.87705,0.86978,0.62597,1.14257,0.91349,1.51543,0.0002674,0.0002674,0.0002674
113,11827.8,0.89023,0.89165,1.3512,0.7451,0.93443,0.90099,0.65674,1.13514,0.85941,1.49526,0.0002608,0.0002608,0.0002608
114,11930.7,0.90031,0.89404,1.34914,0.84434,0.82787,0.90336,0.63389,1.15048,0.84355,1.48987,0.0002542,0.0002542,0.0002542
115,12034,0.87925,0.8937,1.34271,0.83692,0.84426,0.89501,0.64647,1.10437,0.91572,1.47003,0.0002476,0.0002476,0.0002476
116,12136.9,0.86377,0.88477,1.33924,0.80447,0.87682,0.88249,0.60892,1.21092,0.9107,1.54209,0.000241,0.000241,0.000241
117,12239.7,0.89792,0.88099,1.34855,0.82407,0.84426,0.87982,0.60435,1.18348,0.88227,1.5138,0.0002344,0.0002344,0.0002344
118,12342.5,0.90022,0.87789,1.36219,0.81394,0.81967,0.88505,0.63104,1.13991,0.86409,1.52075,0.0002278,0.0002278,0.0002278
119,12445.2,0.84797,0.83991,1.33012,0.86257,0.82314,0.8965,0.62972,1.1259,0.84272,1.5098,0.0002212,0.0002212,0.0002212
120,12548,0.88575,0.89513,1.36206,0.80319,0.86885,0.8977,0.64021,1.10576,0.79421,1.51467,0.0002146,0.0002146,0.0002146
121,12650.9,0.8956,0.87033,1.35118,0.87797,0.81967,0.89419,0.62035,1.19258,0.81867,1.53773,0.000208,0.000208,0.000208
122,12754,0.90868,0.87616,1.37694,0.80528,0.82787,0.88008,0.59977,1.26696,0.86914,1.60318,0.0002014,0.0002014,0.0002014
123,12858.7,0.86011,0.86397,1.34351,0.84455,0.86066,0.88711,0.60772,1.23077,0.88281,1.57055,0.0001948,0.0001948,0.0001948
